classification_loss,regression_loss,classification_acc,regression_r2
0.5401047766208649,15.665261030197144,0.7602739726027398,-2.567635750682147
0.5538628071546554,11.303544092178345,0.7054794520547946,-1.4284816268453904
0.5870924323797226,7.029344987869263,0.6506849315068494,-0.5420220235398718
0.6031975865364074,5.720123635398017,0.726027397260274,-0.24283218223329883
0.5914299339056015,5.743566799163818,0.6643835616438356,-0.1663075161324088
0.6178936958312988,5.1472248315811155,0.636986301369863,-0.1474901291806765
0.5934962451457977,6.086315655708313,0.6986301369863014,-0.20329772868488294
0.6018808960914612,4.911884832382202,0.6712328767123288,-0.1143479477540772
0.6127082288265229,5.213193707995945,0.6712328767123288,-0.12788901061957691
0.5387656927108765,4.922286128997802,0.7397260273972602,-0.14083242304449728
0.6014440506696701,4.242857205867767,0.7123287671232876,0.047368633689566564
0.6696169227361679,5.100505638122558,0.6917808219178082,-0.13806037932290338
0.5957094043493271,5.469566392898559,0.678082191780822,-0.13523735641801604
0.6788271933794021,4.806122991773817,0.6643835616438356,-0.03553077345915634
0.5616459965705871,5.483056998252868,0.7328767123287672,-0.16064387424961502
0.5876380890607834,5.035257339477539,0.726027397260274,-0.07956395277522965
0.5968863636255264,5.400103759765625,0.7123287671232876,-0.03679882054532824
0.4925906628370285,5.416809129714966,0.7191780821917808,-0.10756945523004413
0.609756875038147,4.835977077484131,0.7465753424657534,-0.038536798706185316
0.5147007122635842,4.439728569984436,0.7671232876712328,-0.039267552412895146
0.5667121469974518,5.5246587753295895,0.7671232876712328,-0.21230613922244213
0.5408400818705559,4.475065135955811,0.6917808219178082,-0.01098539343658178
0.6393729627132416,4.216026843525469,0.7397260273972602,0.013324014921975658
0.5591251522302627,6.405764579772949,0.7328767123287672,-0.11759303786749586
0.5802013874053955,4.23714063167572,0.7671232876712328,0.0456938800758353
0.5633012026548385,4.407434701919556,0.7328767123287672,0.05900020914382331
0.5826739221811295,4.141160392761231,0.726027397260274,0.03942962082799362
0.5498139202594757,5.604551386833191,0.7534246575342466,-0.1644191199232954
0.5932173401117324,3.7709131717681883,0.7397260273972602,0.11062688538485665
0.5376724123954773,4.1202110052108765,0.7671232876712328,0.08108114282601853
